Code,Property,Area,Side,Column1,Column2,Column3,Column4
CV13,10uF 100v,COLOR,A,electrolytic capacitor,,,
CV14,,COLOR,B,,,,
CV15,J4,COLOR,B,,,,
CV15,,COLOR,B,,,,
CV16,J4,COLOR,B,,,,
CV17,100uF 25v,COLOR,A,electrolytic capacitor,,,
CV18,2.2uF 200v,COLOR,A,electrolytic capacitor,,,
CV19,2.2uF 200v,COLOR,A,electrolytic capacitor,,,
CV20,2.2uF 200v,COLOR,A,electrolytic capacitor,,,
CV21,100uF 25v,COLOR,A,electrolytic capacitor,,,
CV22,,COLOR,B,,,,
CV23,AA5,COLOR,B,"SMD capacitor 0,1uF",,,
CV24,AA5,COLOR,B,"SMD capacitor 0,1uF",,,
CV25,10nF 100v,,A,poly capacitor,,,
CV26,AA5??,,A,"SMD capacitor 0,1uF",,,
CV27,AA5??,,A,"SMD capacitor 0,1uF",,,
CV28,AA5,COLOR,B,"SMD capacitor 0,1uF",,,
CV29,103z 2kv,,A,capacitor,,,
CV30,103z 2kv,,A,capacitor,,,
CV33,103z 2kv,,A,capacitor,,,
CV39,1uF 50v,,A,electrolytic capacitor,,,
CV40,1uF 50v,,A,electrolytic capacitor,,,
DF1,,CONNECTOR,B,zener diode,,,
DL1,3FP 2N,COLOR,B,SMD,,,
DL2,,VIDEO-H,B,SMD,,,
DL3,A6P 2D,COLOR,B,base C SOT23 BAW62 (1N4148),,,
DL9,A6P 2D,VIDEO_L,B,base C SOT23 BAW62 (1N4148),,,
DP1,GBU6K GI 9302,PSU-H,A,rectifier,,,
DP2,A6P 2D,PSU-H,B,base C SOT23 BAW62 (1N4148),,,
DP3,A6P 2D,PSU-H,B,base C SOT23 BAW62 (1N4148),,,
DP5,,PSU-L,B,,,,
DP6,G1242,PSU-H,A,possible replacement BYW36-TAP,,,
DP8,,PSU-L,B,,,,
DP15,A6P,,B,base C SOT23 BAW62 (1N4148),,,
DP16,A6P 2D,PSU-H,B,base C SOT23 BAW62 (1N4148),,,
DP17,,,,,,,
DP18,3KP 2N,??,,SOT-143B BCV62B NXP PNP transistors ??,,,
DP19,STPR8,PSU-L,A,STPR805DB diode,,,
DP20,SBL3040PT,PSU-H,A, Dual Common Cathode Schottky Rectifier,,,
DP21,ES1D,PSU-L,B,1.0 A Ultra Fast Recovery Rectifier,,,
DP22,LM431,PSU-L,A,,,,
DP35,101,PSU-H,B,,,,
DV2,Y12 2N,COLOR,B,,,,
DV3,,COLOR,B,,,,
DV4,,COLOR,B,,,,
DV5,,COLOR,B,,,,
GB,47k 245,COLOR,A,potentiometer,,,
GG,242 1K,COLOR,A,potentiometer,,,
HS,10k 244,COLOR,A,potentiometer,,,
HV,100k 244,COLOR,A,potentiometer,,,
HW,246 22k,COLOR,A,potentiometer,,,
IF1,TDA8172,COLOR,A,TV vertical deflector output,,,
IL1,TDA8145,COLOR,A,TV vertical deflector output,,,
IP8,l7905acv,PSU-L,A,Linear Voltage Regulator IC Negative Fixed 1 Output 1.5A TO-220,,,
IP11,28BA LM78L 05ACZ,PSU-L,A,LM78L 100-mA Fixed Output Linear Regulator,,,
IS2,TDA7052A,PSU-L,A,1 W BTL mono audio amplifier with DC volume control,,,
IV1,XC1186B,COLOR,A,unclassified,,,
IV2,LM2418T,COLOR,B,30Hz CRT Driver,,,
J12,bridge,COLOR,A,,,,
J27,bridge,COLOR,B,,,,
J33,bridge,COLOR,B,,,,
J34,bridge,COLOR,B,,,,
J35,bridge,COLOR,B,,,,
J37,bridge,VIDEO-H,B,,,,
J38,bridge,VIDEO-H,B,,,,
J39,bridge,COLOR,B,,,,
J40,bridge,COLOR,B,,,,
J78,bridge,CONNECTOR,B,,,,
J79,open,CONNECTOR,B,,,,
J81,bridge,PSU-L,B,,,,
J82,bridge,COLOR,B,,,,
J83?,bridge,COLOR,B,,,,
KS,246 22k,COLOR,A,potentiometer,,,
LL4,,COLOR,B,,,,
LV1,,COLOR,B,,,,
PB,22k 246,COLOR,A,potentiometer,,,
PR,22k 246,COLOR,A,potentiometer,,,
QL2,MPF 990 M249,VIDEO_L,A,,,,
QL3,,VIDEO-H,B,,,,
QL4,,VIDEO-H,B,,,,
